|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||| This file lists Admin Phrases. It's read by a program that uses binomial search, so the phrase  ||||||||||
|||||||| codes *must* be kept in (strict binary) alphabetical order. This header must also be kept here. ||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
_ACCESS_KEY_EQUALS|Access Key = [[key]]
_FIX_DOCSTORE_DIR_TO_BACKUP|Any Document Files in your Backups will not be restored. Set up the Docstore Directory before restoring a Backup to resolve this issue.
_FIX_DROPBOX_DIR_TO_USE_DROPBOX|You must fix the Dropbox directory before attempting to use the Dropbox
_GBYTES|[[size]] GB
_GROUPS|Groups
_GROUPS:|Groups:
_INVALID_IMAGE_TYPE|The uploaded file is not a valid image.
_JAN|January
_JOB_TITLE:|Job Title:
_JUL|July
_JUN|June
_KBYTES|[[size]] KB
_LAST_LOGIN:|Last Login:
_LAST_NAME:|Last Name:
_MAR|March
_MAY|May
_MBYTES|[[size]] MB
_MEDIUM|Medium
_MEMBER_OF|Member of
_MEMBER_OF:|Member of:
_MEMBERS_ARE_EMPLOYEES:|Members are Employees:
_MIDDLE_NAME:|Middle Name:
_MIN_PASSWORD_LENGTH|Please ensure your password is more than [[min_pass_length]] characters.
_MOBILE:|Mobile number:
_MODIFIED_DATE:|Date Modified:
_MSG_CATEGORY_ALREADY_EXISTS|The Category "[[name]]" already exists. Please choose a different name.
_MSG_ENTER_ALL_FIELDS|You must enter details in all fields
_MSG_ENTER_NAME_GROUP|Please ensure you enter a name for your Group
_MSG_NAME_GROUP_ALREADY_EXISTS|A Group with this name already exists. Please choose another name
_MSG_NO_PASS|Please enter a password.
_MSG_NO_STATUS|No Status
_MSG_OTHER_USERNAME_USER|This User already exists. Please choose a different username.
_MSG_PASS|Please enter a password in both password fields.
_MSG_PASS_2|Please ensure that the passwords you submit are identical.
_MSG_PASS_NOT_CHANGED|Your new Password must be different of the Current Password.
_MSG_PASS_STRENGTH|The password provided is not strong enough. Please make the password longer, or try mixing in upper and lower case letters, numbers or non-alphanumeric characters.
_MSG_PASS_WRONG|You did not type your Current Password correctly.
_MSG_VALID_EMAIL_ADMIN|Please ensure you enter a valid email address.
_NO|No
_NO_ADMINS_TO_BACKUP|There are no Local Administrators for this site with Management rights. We recommend you create one before taking a backup.
_NO_CHANGES_TO_NOTIFY|There are no changes to notify the User of
_NO_GROUP_MEMBERSHIPS|No current Group Memberships
_OCT|October
_OK|OK
_PASSWORD|Password
_PASSWORD:|Password:
_PASSWORD_RECONFIRM:|Re-confirm Password:
_PLEASE_SELECT|Please select
_RES_ADDRESS1:|Residence Address 1:
_RES_ADDRESS2:|Residence Address 2:
_RES_ADDRESS3:|Residence Address 3:
_RES_COUNTRY:|Residence country:
_RES_PHONE:|Residence phone:
_RES_POSTCODE:|Residence postcode:
_RES_STATE:|Residence state:
_RES_TOWN:|Residence town:
_SELECT_GROUP|Select Group...
_SELECT_ITEM|Select Item...
_SELECTED_GROUPS|Selected Groups
_SELECTED_GROUPS:|Selected Groups:
_SEP|September
_STATUS|Status
_STATUS:|Status:
_STRONG|Strong
_SUBSCRIPTIONS|Temporary Memberships
_SUBSCRIPTIONS:|Temporary Memberships:
_TBYTES|[[size]] TB
_USERNAME:|Username:
_VERY_STRONG|Very Strong
_VLP_IMPORT_FOR_WRONG_LANGUAGE|The Language Pack you are trying to import is for a different language.
_WEAK|Too weak
_WEBSITE:|Website:
_YES|Yes
_ZENARIO_GRID_MAKER_ERROR_001|Your zenario_custom/templates/grid_templates/ directory is not writable. The files needed cannot be written to the filesystem.
_ZENARIO_GRID_MAKER_ERROR_002|A subdirectory in your zenario_custom/templates/ directory is not writable. Some of the files needed could not be written to the filesystem.
_ZENARIO_GRID_MAKER_ERROR_003|Could not write an essential file to your zenario_custom/templates/ directory.
_ZENARIO_GRID_MAKER_ERROR_004|The PHP Zip extension is not installed. Please enable it if you wish to create a ZIP file.
_ZENARIO_GRID_MAKER_ERROR_005|Could not write to your private/downloads/ directory.
_ZENARIO_GRID_MAKER_ERROR_006|Could not find the sample theme Skin.
~|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||~
~||||||| This file lists Admin Phrases. It's read by a program that uses binomial search, so the phrase  |||||||||~
~||||||| codes *must* be kept in (strict binary) alphabetical order. This footer must also be kept here. |||||||||~
~|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||~
